time,north_bering_sst,south_bering_sst,west_aleutians_sst,central_aleutians_sst,east_aleutians_sst,west_gulf_sst,central_gulf_sst,east_gulf_sst,north_bering_sst_stdev,south_bering_sst_stdev,west_aleutian_sst_stdev,central_aleutian_sst_stdev,east_aleutians_sst_stdev,west_gulf_sst_stdev,central_gulf_sst_stdev,east_gulf_sst_stdev,north_bering_sst_n,south_bering_sst_n,west_aleutian_sst_n,central_aleutian_sst_n,east_aleutian_sst_n,west_gulf_sst_n,central_gulf_sst_n,east_gulf_sst_n
UTC,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,degree_C,,,,,,,,
1982-06-16T00:00:00Z,2.0099022,4.325241,3.8646734,4.970783,4.6682673,5.6903124,6.17854,7.302147,1.5181221,1.768798,1.3515903,0.84022987,1.3442698,0.9485365,1.4756097,1.7561011,28360,15684,3107,9475,5402,10627,15384,14797
1982-07-17T00:00:00Z,4.879305,5.3636904,6.0253186,7.285968,7.219952,8.066709,8.944453,11.0127735,1.7417177,1.9367074,1.2676555,1.4094143,1.5657066,1.0969487,1.3305184,0.86762613,37453,17884,5966,5905,10815,14332,28634,24451
1982-08-17T00:00:00Z,6.919409,7.632161,7.2215433,7.8903427,8.120115,9.752945,10.845647,12.869244,1.9516786,1.327293,1.4548875,2.0967872,1.748697,0.935274,1.1841196,0.7575106,34594,19347,9299,6275,7550,14182,30311,25191
1982-09-16T00:00:00Z,6.620034,6.837733,8.61455,7.8877826,8.567136,9.14104,10.456221,12.241736,1.826971,1.3738667,0.67530614,1.0909585,0.89503443,0.6945278,0.9991035,0.9537261,20859,9572,15367,7293,5922,9632,24468,17129
1982-10-17T00:00:00Z,4.232201,5.610661,7.199427,7.1535926,6.7535305,7.6137753,8.068328,9.612161,1.6533567,0.82522774,1.0552707,1.2493767,1.1722125,0.9559644,1.147619,1.2410977,16409,7793,12672,7546,9078,14127,26256,13241
1982-11-16T00:00:00Z,1.9020406,4.3860707,5.619385,5.620405,5.357415,5.9731135,5.940564,7.113051,1.4585356,0.9124921,1.1172813,1.248284,1.078376,0.83408064,0.81344604,0.86337864,21332,13623,6517,8118,8538,13769,28995,21373
1982-12-17T00:00:00Z,1.0066061,3.3152385,3.5684226,4.263039,4.460222,4.6524944,4.896957,6.0939174,1.1815741,0.96338147,0.9498443,0.7782114,0.73094845,0.77053773,0.6264994,0.91108555,20045,7970,4552,6281,9614,7003,16201,16404
1983-01-17T00:00:00Z,1.155828,1.9987947,2.7513077,2.7614906,2.884933,3.3873763,4.213565,4.9947453,1.1483635,1.1481752,0.5841388,0.59605795,0.6468782,0.58268255,0.8434268,0.7715692,15410,15008,4772,5307,5145,8557,11560,18140
1983-02-15T00:00:00Z,-0.022536071,1.356208,2.334126,2.2835014,2.655319,3.2222645,4.2246065,5.0622525,1.2132422,1.3897562,0.53396785,0.48511633,0.49986708,0.5721361,0.7298876,0.8387584,1802,11337,2397,4424,5986,6898,16017,10562
1983-03-17T00:00:00Z,-0.8909351,1.0655231,2.2222128,2.324886,2.71679,3.3835874,4.477525,5.9229555,0.5161722,1.3764918,0.42140433,0.5198227,0.5318335,0.65376794,0.6796838,1.0330435,9528,14309,3525,7022,9034,7504,15024,26143
1983-04-16T00:00:00Z,-0.62324697,1.6250131,2.2572124,2.149147,2.9433038,3.6155763,4.7747345,6.089428,0.74461937,1.3285894,0.51950485,0.55673486,0.85977817,0.6613136,0.8127892,0.84115916,13893,12934,4929,3998,4864,11201,18109,26172
1983-05-17T00:00:00Z,0.6136502,2.557138,2.4450152,3.1416674,3.8760626,4.5118494,5.737689,7.2754083,1.4155662,1.4964845,0.78661686,1.4267513,1.2652683,0.9483443,1.2477316,1.3691515,27686,10989,5629,2537,6174,15222,19214,18357
1983-06-16T00:00:00Z,3.1339827,4.943878,4.509501,2.5136545,4.4321733,5.981516,7.6616893,10.134169,1.9185998,1.3618851,1.2853714,1.2146523,1.0332865,1.0056449,1.1473669,1.4227794,42181,25989,4671,2211,7363,16808,33160,26114
1983-07-17T00:00:00Z,6.8581257,8.060336,5.8161993,5.981814,5.9213605,9.024793,11.276278,12.783951,1.9929714,2.0731988,1.3327503,1.6329777,0.88445497,1.5407035,1.3089068,1.2864915,26610,14947,12793,5799,3535,9950,24156,23772
1983-08-17T00:00:00Z,8.3623705,8.589793,7.064303,8.2731905,8.450959,10.507106,12.67516,13.928297,1.3965998,1.4551119,1.4559118,2.2064095,2.144628,1.7194973,1.1172421,0.5856321,34041,17562,17181,15038,13915,9665,28049,24488
1983-09-16T00:00:00Z,8.051112,8.806369,8.834526,8.670571,9.374543,10.615873,11.442817,12.735945,1.600306,1.1864427,0.6678389,0.9835797,1.345824,1.342495,0.7994428,0.5649138,22764,11211,10774,9835,7453,7292,25186,28279
1983-10-17T00:00:00Z,4.8656516,6.547949,7.363759,7.622445,7.5899425,8.236828,8.732072,9.912945,1.8133082,0.95568204,0.6165605,1.1036791,0.97479796,0.8780738,0.8083347,0.8683641,22114,12812,21119,14391,14204,12468,27505,23311
1983-11-16T00:00:00Z,2.1580808,5.0165033,5.4978824,5.4254727,5.8716645,6.382382,6.425364,7.956509,1.7313236,0.84900516,0.8191806,1.0023317,0.75630426,0.5997109,0.7342306,0.7841645,15845,15926,8680,10125,11758,14224,20725,20816
1983-12-17T00:00:00Z,1.5563227,4.2156653,3.7904205,4.0346785,4.572441,5.2288156,6.066875,6.613769,1.4425797,0.7179167,0.5728112,0.7600214,0.6094212,0.5407851,0.63156563,0.636982,39907,23470,13912,17313,16700,22964,28021,31022
1984-01-17T00:00:00Z,1.0429205,3.3239572,2.952787,3.2476504,3.751853,4.3963084,4.995704,5.988995,1.3588763,1.0017508,0.67055756,0.67330164,0.6759164,0.7494807,0.73546684,0.8659983,19442,10722,7234,10023,11079,7761,13634,17063
1984-02-16T00:00:00Z,1.5526778,2.1060042,2.2843118,2.713745,3.2776382,3.4509318,3.9903738,5.8906183,0.64661306,1.0304263,0.5263019,0.5467291,0.53440106,0.5073243,0.5750822,1.0267825,1139,1907,6088,5805,3747,7029,4681,3913
